starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 10 01:55:07 2019	1547052907	0	1086	1086	496
Thu Jan 10 01:55:08 2019	1547052908	0	1088	1088	1049
Thu Jan 10 01:55:04 2019	1547052904	0	1088	1088	683
Thu Jan 10 01:55:04 2019	1547052904	0	1090	1090	729
Thu Jan 10 01:55:07 2019	1547052907	0	1090	1091	499
Thu Jan 10 01:55:07 2019	1547052907	0	1097	1097	493
Thu Jan 10 01:55:07 2019	1547052907	0	1097	1098	492
Thu Jan 10 01:55:07 2019	1547052907	0	1098	1098	492
Thu Jan 10 01:55:07 2019	1547052907	0	1098	1098	493
Thu Jan 10 01:55:07 2019	1547052907	0	1098	1098	492
Thu Jan 10 01:55:07 2019	1547052907	0	1098	1099	495
Thu Jan 10 01:55:07 2019	1547052907	0	1099	1099	494
Thu Jan 10 01:55:06 2019	1547052906	0	1101	1101	338
Thu Jan 10 01:55:06 2019	1547052906	0	1102	1102	298
Thu Jan 10 01:55:06 2019	1547052906	0	1102	1103	317
Thu Jan 10 01:55:07 2019	1547052907	0	1102	1103	932
Thu Jan 10 01:55:07 2019	1547052907	0	1103	1104	682
Thu Jan 10 01:55:06 2019	1547052906	0	1105	1105	288
Thu Jan 10 01:55:04 2019	1547052904	0	1105	1105	543
Thu Jan 10 01:55:06 2019	1547052906	0	1105	1105	288
Thu Jan 10 01:55:06 2019	1547052906	0	1108	1108	287
Thu Jan 10 01:55:07 2019	1547052907	0	1113	1113	493
Thu Jan 10 01:55:05 2019	1547052905	0	1113	1114	511
Thu Jan 10 01:55:05 2019	1547052905	0	1114	1115	935
Thu Jan 10 01:55:05 2019	1547052905	0	1116	1116	261
Thu Jan 10 01:55:06 2019	1547052906	0	1116	1116	300
Thu Jan 10 01:55:07 2019	1547052907	0	1118	1118	931
Thu Jan 10 01:55:07 2019	1547052907	0	1119	1119	932
Thu Jan 10 01:55:08 2019	1547052908	0	1119	1120	798
Thu Jan 10 01:55:06 2019	1547052906	0	1122	1122	304
Thu Jan 10 01:55:06 2019	1547052906	0	1122	1123	303
Thu Jan 10 01:55:03 2019	1547052903	2	1121	1123	693
Thu Jan 10 01:55:03 2019	1547052903	2	1122	1124	593
Thu Jan 10 01:55:03 2019	1547052903	3	1122	1124	2
Thu Jan 10 01:55:05 2019	1547052905	0	1132	1132	64
Thu Jan 10 01:55:07 2019	1547052907	0	1133	1133	846
Thu Jan 10 01:55:07 2019	1547052907	0	1134	1135	961
Thu Jan 10 01:55:07 2019	1547052907	0	1135	1135	961
Thu Jan 10 01:55:06 2019	1547052906	0	1135	1136	758
Thu Jan 10 01:55:07 2019	1547052907	0	1138	1138	962
Thu Jan 10 01:55:06 2019	1547052906	0	1139	1140	336
Thu Jan 10 01:55:06 2019	1547052906	0	1140	1140	335
Thu Jan 10 01:55:03 2019	1547052903	3	1139	1142	1
Thu Jan 10 01:55:05 2019	1547052905	0	1150	1150	260
Thu Jan 10 01:55:06 2019	1547052906	1	1150	1151	346
Thu Jan 10 01:55:06 2019	1547052906	0	1154	1154	352
Thu Jan 10 01:55:06 2019	1547052906	0	1155	1155	149
Thu Jan 10 01:55:06 2019	1547052906	0	1157	1157	351
Thu Jan 10 01:55:05 2019	1547052905	0	1158	1158	552
Thu Jan 10 01:55:06 2019	1547052906	0	1163	1163	783
Thu Jan 10 01:55:06 2019	1547052906	0	1164	1164	349
Thu Jan 10 01:55:04 2019	1547052904	0	1165	1165	546
Thu Jan 10 01:55:07 2019	1547052907	0	1165	1165	795
Thu Jan 10 01:55:06 2019	1547052906	0	1167	1167	365
Thu Jan 10 01:55:07 2019	1547052907	0	1167	1167	731
Thu Jan 10 01:55:05 2019	1547052905	0	1169	1169	700
Thu Jan 10 01:55:06 2019	1547052906	0	1169	1170	351
Thu Jan 10 01:55:06 2019	1547052906	0	1171	1171	369
Thu Jan 10 01:55:03 2019	1547052903	2	1170	1172	507
Thu Jan 10 01:55:07 2019	1547052907	0	1172	1173	731
Thu Jan 10 01:55:07 2019	1547052907	0	1173	1173	905
Thu Jan 10 01:55:06 2019	1547052906	0	1174	1175	779
Thu Jan 10 01:55:03 2019	1547052903	0	1175	1175	667
Thu Jan 10 01:55:05 2019	1547052905	0	1182	1182	541
Thu Jan 10 01:55:04 2019	1547052904	0	1183	1183	779
Thu Jan 10 01:55:03 2019	1547052903	0	1187	1187	814
Thu Jan 10 01:55:06 2019	1547052906	0	1187	1187	348
